Model,Num_Runs,Mean_Elo,Std_Elo,Min_Elo,Max_Elo,Mean_Win_Rate,Std_Win_Rate,Min_Win_Rate,Max_Win_Rate
llama-4-maverick,4,1527.7819,35.4814,1476.1909,1557.1691,0.5300,0.1194,0.4000,0.6800
gemini-2.5-flash,4,1524.3084,53.4971,1470.4794,1573.9876,0.5400,0.1200,0.4400,0.6800
grok-3-mini,4,1524.1942,26.7085,1496.1128,1559.7684,0.5800,0.0833,0.4800,0.6800
kimi-k2,4,1515.9614,17.1116,1493.5320,1532.8972,0.5600,0.0327,0.5200,0.6000
qwen3-235b-a22b-2507,4,1465.1928,75.2748,1389.7289,1541.9737,0.4000,0.1633,0.2400,0.5600
gpt-4o-mini,4,1442.5612,111.5842,1305.3913,1578.0642,0.3900,0.2620,0.0800,0.7200
