Model,Run_Name,Elo,Win_Rate
gemini-2.5-flash,Poker-v0_5x_CHEAP_MODELS_basic_variant_1,1573.9876,0.6800
gemini-2.5-flash,Poker-v0_5x_CHEAP_MODELS_basic_variant_2,1470.4794,0.4400
gemini-2.5-flash,Poker-v0_5x_CHEAP_MODELS_basic_variant_3,1486.3108,0.4400
gemini-2.5-flash,Poker-v0_5x_CHEAP_MODELS_basic_variant_4,1566.4559,0.6000
gpt-4o-mini,Poker-v0_5x_CHEAP_MODELS_basic_variant_1,1452.7508,0.4000
gpt-4o-mini,Poker-v0_5x_CHEAP_MODELS_basic_variant_2,1434.0386,0.3600
gpt-4o-mini,Poker-v0_5x_CHEAP_MODELS_basic_variant_3,1578.0642,0.7200
gpt-4o-mini,Poker-v0_5x_CHEAP_MODELS_basic_variant_4,1305.3913,0.0800
grok-3-mini,Poker-v0_5x_CHEAP_MODELS_basic_variant_1,1559.7684,0.6800
grok-3-mini,Poker-v0_5x_CHEAP_MODELS_basic_variant_2,1525.8271,0.5600
grok-3-mini,Poker-v0_5x_CHEAP_MODELS_basic_variant_3,1515.0686,0.6000
grok-3-mini,Poker-v0_5x_CHEAP_MODELS_basic_variant_4,1496.1128,0.4800
kimi-k2,Poker-v0_5x_CHEAP_MODELS_basic_variant_1,1524.7677,0.5600
kimi-k2,Poker-v0_5x_CHEAP_MODELS_basic_variant_2,1512.6490,0.5600
kimi-k2,Poker-v0_5x_CHEAP_MODELS_basic_variant_3,1493.5320,0.5200
kimi-k2,Poker-v0_5x_CHEAP_MODELS_basic_variant_4,1532.8972,0.6000
llama-4-maverick,Poker-v0_5x_CHEAP_MODELS_basic_variant_1,1476.1909,0.4000
llama-4-maverick,Poker-v0_5x_CHEAP_MODELS_basic_variant_2,1540.4720,0.5600
llama-4-maverick,Poker-v0_5x_CHEAP_MODELS_basic_variant_3,1537.2955,0.4800
llama-4-maverick,Poker-v0_5x_CHEAP_MODELS_basic_variant_4,1557.1691,0.6800
qwen3-235b-a22b-2507,Poker-v0_5x_CHEAP_MODELS_basic_variant_1,1412.5347,0.2800
qwen3-235b-a22b-2507,Poker-v0_5x_CHEAP_MODELS_basic_variant_2,1516.5340,0.5200
qwen3-235b-a22b-2507,Poker-v0_5x_CHEAP_MODELS_basic_variant_3,1389.7289,0.2400
qwen3-235b-a22b-2507,Poker-v0_5x_CHEAP_MODELS_basic_variant_4,1541.9737,0.5600
