Model,Num_Runs,Mean_Rank,Std_Rank,Best_Rank,Worst_Rank,Median_Rank
llama-4-maverick,4,2.2500,1.2583,1,4,2.0000
gemini-2.5-flash,4,3.0000,2.3094,1,5,3.0000
grok-3-mini,4,3.0000,1.4142,2,5,2.5000
kimi-k2,4,3.7500,0.5000,3,4,4.0000
qwen3-235b-a22b-2507,4,4.5000,1.7321,3,6,4.5000
gpt-4o-mini,4,4.5000,2.3805,1,6,5.5000
