Model,Num_Runs,Mean_Elo,Std_Elo,Min_Elo,Max_Elo,Mean_Win_Rate,Std_Win_Rate,Min_Win_Rate,Max_Win_Rate
llama-4-maverick,5,1540.0653,62.7369,1457.5827,1599.8095,0.5920,0.1481,0.4000,0.7600
kimi-k2,5,1535.3341,28.3257,1495.0165,1572.8119,0.5760,0.0537,0.5200,0.6400
qwen3-235b-a22b-2507,5,1515.1282,96.9465,1353.2949,1614.8419,0.5120,0.1947,0.2000,0.7200
gemini-2.5-flash,5,1508.6076,62.1088,1429.2886,1573.2446,0.5200,0.1233,0.3600,0.6400
gpt-4o-mini,5,1499.6702,135.8596,1261.6982,1585.5648,0.5120,0.2918,0.0000,0.7200
grok-3-mini,5,1401.1946,64.3081,1314.6801,1489.7679,0.2880,0.1481,0.0800,0.4800
