Model,Num_Runs,Mean_Rank,Std_Rank,Best_Rank,Worst_Rank,Median_Rank
gpt-4o-mini,5,2.6000,2.0736,1,6,2.0000
llama-4-maverick,5,2.8000,2.0494,1,5,2.0000
qwen3-235b-a22b-2507,5,3.0000,1.8708,1,6,3.0000
kimi-k2,5,3.2000,1.0954,2,4,4.0000
gemini-2.5-flash,5,4.2000,1.3038,3,6,4.0000
grok-3-mini,5,5.2000,0.8367,4,6,5.0000
