Model,Num_Runs,Mean_Rank,Std_Rank,Best_Rank,Worst_Rank,Median_Rank
llama-4-maverick,5,1.2000,0.4472,1,2,1.0000
gemini-2.5-flash,5,2.8000,1.3038,2,5,2.0000
qwen3-235b-a22b-2507,5,3.4000,1.3416,1,4,4.0000
grok-3-mini,5,3.6000,1.3416,2,5,3.0000
kimi-k2,5,4.0000,1.0000,3,5,4.0000
gpt-4o-mini,5,6.0000,0.0000,6,6,6.0000
