Model,Run_Name,Elo,Win_Rate
gemini-2.5-flash,Poker-v0_5x_CHEAP_MODELS_basic_variant_1,1563.2244,0.6400
gemini-2.5-flash,Poker-v0_5x_CHEAP_MODELS_basic_variant_2,1574.5584,0.6400
gemini-2.5-flash,Poker-v0_5x_CHEAP_MODELS_basic_variant_3,1560.8311,0.6000
gemini-2.5-flash,Poker-v0_5x_CHEAP_MODELS_basic_variant_4,1579.9918,0.6800
gemini-2.5-flash,Poker-v0_5x_CHEAP_MODELS_basic_variant_5,1482.1731,0.5600
gpt-4o-mini,Poker-v0_5x_CHEAP_MODELS_basic_variant_1,1313.0229,0.1200
gpt-4o-mini,Poker-v0_5x_CHEAP_MODELS_basic_variant_2,1394.2891,0.2400
gpt-4o-mini,Poker-v0_5x_CHEAP_MODELS_basic_variant_3,1378.1067,0.2400
gpt-4o-mini,Poker-v0_5x_CHEAP_MODELS_basic_variant_4,1285.9202,0.0800
gpt-4o-mini,Poker-v0_5x_CHEAP_MODELS_basic_variant_5,1386.9461,0.2400
grok-3-mini,Poker-v0_5x_CHEAP_MODELS_basic_variant_1,1553.4752,0.5200
grok-3-mini,Poker-v0_5x_CHEAP_MODELS_basic_variant_2,1395.8055,0.2800
grok-3-mini,Poker-v0_5x_CHEAP_MODELS_basic_variant_3,1390.1456,0.2400
grok-3-mini,Poker-v0_5x_CHEAP_MODELS_basic_variant_4,1591.9774,0.6400
grok-3-mini,Poker-v0_5x_CHEAP_MODELS_basic_variant_5,1534.6128,0.5200
kimi-k2,Poker-v0_5x_CHEAP_MODELS_basic_variant_1,1434.8546,0.4400
kimi-k2,Poker-v0_5x_CHEAP_MODELS_basic_variant_2,1541.7141,0.6000
kimi-k2,Poker-v0_5x_CHEAP_MODELS_basic_variant_3,1539.9361,0.6400
kimi-k2,Poker-v0_5x_CHEAP_MODELS_basic_variant_4,1456.3364,0.3600
kimi-k2,Poker-v0_5x_CHEAP_MODELS_basic_variant_5,1509.4743,0.5200
llama-4-maverick,Poker-v0_5x_CHEAP_MODELS_basic_variant_1,1639.8767,0.7600
llama-4-maverick,Poker-v0_5x_CHEAP_MODELS_basic_variant_2,1602.9247,0.7600
llama-4-maverick,Poker-v0_5x_CHEAP_MODELS_basic_variant_3,1599.1135,0.6800
llama-4-maverick,Poker-v0_5x_CHEAP_MODELS_basic_variant_4,1603.0786,0.7200
llama-4-maverick,Poker-v0_5x_CHEAP_MODELS_basic_variant_5,1539.4638,0.5600
qwen3-235b-a22b-2507,Poker-v0_5x_CHEAP_MODELS_basic_variant_1,1495.5463,0.5200
qwen3-235b-a22b-2507,Poker-v0_5x_CHEAP_MODELS_basic_variant_2,1490.7082,0.4800
qwen3-235b-a22b-2507,Poker-v0_5x_CHEAP_MODELS_basic_variant_3,1531.8670,0.6000
qwen3-235b-a22b-2507,Poker-v0_5x_CHEAP_MODELS_basic_variant_4,1482.6957,0.5200
qwen3-235b-a22b-2507,Poker-v0_5x_CHEAP_MODELS_basic_variant_5,1547.3299,0.6000
