Model,Num_Runs,Mean_Elo,Std_Elo,Min_Elo,Max_Elo,Mean_Win_Rate,Std_Win_Rate,Min_Win_Rate,Max_Win_Rate
llama-4-maverick,5,1596.8915,36.1431,1539.4638,1639.8767,0.6960,0.0829,0.5600,0.7600
gemini-2.5-flash,5,1552.1557,39.9126,1482.1731,1579.9918,0.6240,0.0456,0.5600,0.6800
qwen3-235b-a22b-2507,5,1509.6294,28.2737,1482.6957,1547.3299,0.5440,0.0537,0.4800,0.6000
kimi-k2,5,1496.4631,48.7663,1434.8546,1541.7141,0.5120,0.1145,0.3600,0.6400
grok-3-mini,5,1493.2033,93.8229,1390.1456,1591.9774,0.4400,0.1720,0.2400,0.6400
gpt-4o-mini,5,1351.6570,48.9293,1285.9202,1394.2891,0.1840,0.0780,0.0800,0.2400
