Model,Num_Runs,Mean_Rank,Std_Rank,Best_Rank,Worst_Rank,Median_Rank
deepseek-r1-0528,6,1.0000,0.0000,1,1,1.0000
grok-3-mini,6,2.0000,0.0000,2,2,2.0000
qwen3-235b-a22b-2507,6,3.3333,0.5164,3,4,3.0000
kimi-k2,6,4.1667,0.7528,3,5,4.0000
gemini-2.5-flash,6,5.6667,1.2111,4,7,5.5000
gpt-4o-mini,6,5.8333,0.7528,5,7,6.0000
llama-4-maverick,6,6.0000,1.5492,3,7,6.5000
