Model,Num_Runs,Mean_Elo,Std_Elo,Min_Elo,Max_Elo,Mean_Win_Rate,Std_Win_Rate,Min_Win_Rate,Max_Win_Rate
deepseek-r1-0528,6,1714.7265,31.0418,1682.8518,1774.5589,0.6833,0.0279,0.6500,0.7167
grok-3-mini,6,1604.0746,40.8364,1562.0645,1675.9843,0.6083,0.0751,0.4833,0.7000
qwen3-235b-a22b-2507,6,1514.2082,51.8479,1428.0627,1579.7423,0.2889,0.0814,0.2000,0.3833
kimi-k2,6,1465.2730,32.9491,1432.5077,1521.0161,0.3194,0.0195,0.3000,0.3500
gemini-2.5-flash,6,1407.5022,48.7289,1336.6871,1463.6011,0.2139,0.0386,0.1667,0.2667
gpt-4o-mini,6,1401.3024,37.8757,1333.0710,1445.2292,0.3000,0.0568,0.2000,0.3667
llama-4-maverick,6,1392.9130,53.5863,1337.7279,1490.0211,0.3389,0.0544,0.2667,0.4167
