Model,Num_Runs,Mean_Elo,Std_Elo,Min_Elo,Max_Elo,Mean_Win_Rate,Std_Win_Rate,Min_Win_Rate,Max_Win_Rate
deepseek-r1-0528,2,1668.1114,17.5201,1655.7229,1680.5000,0.6917,0.0825,0.6333,0.7500
grok-3-mini,2,1641.7273,72.8706,1590.2000,1693.2546,0.6167,0.0471,0.5833,0.6500
qwen3-235b-a22b-2507,2,1487.0963,9.6114,1480.3000,1493.8926,0.3417,0.0589,0.3000,0.3833
llama-4-maverick,2,1458.1990,17.9619,1445.4980,1470.9000,0.3350,0.1202,0.2500,0.4200
gemini-2.5-flash,2,1422.9136,46.2640,1390.2000,1455.6271,0.2250,0.0354,0.2000,0.2500
kimi-k2,2,1408.7125,58.5308,1367.3250,1450.1000,0.2667,0.1886,0.1333,0.4000
gpt-4o-mini,2,1404.7399,22.7124,1388.6798,1420.8000,0.3333,0.0236,0.3167,0.3500
