Model,Num_Runs,Mean_Rank,Std_Rank,Best_Rank,Worst_Rank,Median_Rank
deepseek-r1-0528,2,1.5000,0.7071,1,2,1.5000
grok-3-mini,2,1.5000,0.7071,1,2,1.5000
qwen3-235b-a22b-2507,2,3.0000,0.0000,3,3,3.0000
llama-4-maverick,2,4.5000,0.7071,4,5,4.5000
gemini-2.5-flash,2,5.5000,2.1213,4,7,5.5000
kimi-k2,2,6.0000,1.4142,5,7,6.0000
gpt-4o-mini,2,6.0000,0.0000,6,6,6.0000
