Model,Num_Runs,Mean_Elo,Std_Elo,Min_Elo,Max_Elo,Mean_Win_Rate,Std_Win_Rate,Min_Win_Rate,Max_Win_Rate
grok-3-mini,5,1597.8168,68.1379,1527.4920,1673.1574,0.5600,0.1786,0.4000,0.7667
deepseek-r1-0528,5,1541.5468,66.7440,1461.9161,1643.3741,0.3867,0.1574,0.2333,0.6333
qwen3-235b-a22b-2507,5,1504.4636,7.6459,1494.8962,1515.7348,0.3733,0.0760,0.2667,0.4667
gemini-2.5-flash,5,1489.0930,58.2793,1427.0242,1553.7045,0.3467,0.1193,0.2333,0.5000
llama-4-maverick,5,1477.0753,33.6812,1438.9623,1517.0691,0.3267,0.0435,0.3000,0.4000
kimi-k2,5,1449.3559,34.2129,1402.1641,1482.9804,0.2667,0.0471,0.2000,0.3000
gpt-4o-mini,5,1440.6485,35.4099,1412.0080,1498.7098,0.2667,0.0577,0.2333,0.3667
