Model,Num_Runs,Mean_Rank,Std_Rank,Best_Rank,Worst_Rank,Median_Rank
grok-3-mini,5,1.4000,0.5477,1,2,1.0000
deepseek-r1-0528,5,3.2000,1.6432,2,6,3.0000
qwen3-235b-a22b-2507,5,3.4000,1.1402,2,5,3.0000
gemini-2.5-flash,5,3.6000,2.6077,1,7,4.0000
llama-4-maverick,5,4.6000,0.8944,4,6,4.0000
gpt-4o-mini,5,5.6000,1.6733,3,7,6.0000
kimi-k2,5,6.2000,0.8367,5,7,6.0000
