Model,Num_Runs,Mean_Rank,Std_Rank,Best_Rank,Worst_Rank,Median_Rank
chatgpt-4o-latest,5,3.0000,1.8708,1,5,4.0000
grok-3-mini,5,3.4000,1.9494,1,6,4.0000
deepseek-r1,5,3.6000,1.9494,1,5,5.0000
qwen3-235b-a22b-2507,5,4.0000,2.3452,2,7,3.0000
llama-4-maverick,5,4.0000,2.0000,2,7,3.0000
gemini-2.5-flash,5,4.8000,2.6833,1,7,6.0000
o3-mini,5,5.2000,1.6432,3,7,6.0000
