Model,Num_Runs,Mean_Elo,Std_Elo,Min_Elo,Max_Elo,Mean_Win_Rate,Std_Win_Rate,Min_Win_Rate,Max_Win_Rate
chatgpt-4o-latest,5,1522.9843,37.7248,1494.5479,1585.6087,0.6333,0.2173,0.5000,1.0000
grok-3-mini,5,1509.6981,25.3580,1472.1324,1530.3190,0.5667,0.1491,0.3333,0.6667
deepseek-r1,5,1507.2273,29.8810,1476.5465,1557.1491,0.5333,0.1826,0.3333,0.8333
qwen3-235b-a22b-2507,5,1493.5996,36.9521,1445.1078,1530.4362,0.4667,0.2173,0.1667,0.6667
llama-4-maverick,5,1491.0480,32.1180,1442.3553,1526.7095,0.4333,0.1900,0.1667,0.6667
o3-mini,5,1488.1771,33.0669,1442.8983,1529.0669,0.4333,0.1900,0.1667,0.6667
gemini-2.5-flash,5,1487.2655,43.3139,1442.1993,1554.3623,0.4333,0.2528,0.1667,0.8333
