Model,Run_Name,Elo,Win_Rate
deepseek-r1-0528,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_1,1611.8582,0.5667
deepseek-r1-0528,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_2,1648.0041,0.7333
deepseek-r1-0528,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_3,1593.3145,0.5667
deepseek-r1-0528,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_4,1601.5583,0.5333
deepseek-r1-0528,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_5,1590.1745,0.5667
gemini-2.5-flash,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_1,1441.6039,0.2333
gemini-2.5-flash,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_2,1421.5281,0.3667
gemini-2.5-flash,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_3,1408.8049,0.1667
gemini-2.5-flash,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_4,1399.9172,0.1667
gemini-2.5-flash,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_5,1453.1943,0.2000
gpt-4o-mini,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_1,1404.2790,0.2333
gpt-4o-mini,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_2,1443.4354,0.3667
gpt-4o-mini,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_3,1428.7924,0.3333
gpt-4o-mini,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_4,1489.8452,0.4000
gpt-4o-mini,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_5,1420.8890,0.2333
grok-3-mini,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_1,1614.5393,0.6667
grok-3-mini,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_2,1674.2244,0.7667
grok-3-mini,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_3,1694.0289,0.8000
grok-3-mini,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_4,1657.1817,0.7333
grok-3-mini,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_5,1648.7388,0.6667
kimi-k2,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_1,1488.1759,0.3333
kimi-k2,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_2,1448.7231,0.3667
kimi-k2,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_3,1467.0010,0.4000
kimi-k2,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_4,1487.2197,0.2667
kimi-k2,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_5,1491.7265,0.3667
llama-4-maverick,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_1,1460.4582,0.3333
llama-4-maverick,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_2,1426.3697,0.2333
llama-4-maverick,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_3,1426.9485,0.2333
llama-4-maverick,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_4,1437.4571,0.2000
llama-4-maverick,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_5,1428.0735,0.2667
qwen3-235b-a22b-2507,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_1,1479.0856,0.3667
qwen3-235b-a22b-2507,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_2,1437.7152,0.2333
qwen3-235b-a22b-2507,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_3,1481.1097,0.3667
qwen3-235b-a22b-2507,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_4,1426.8209,0.2333
qwen3-235b-a22b-2507,TicTacToe-v0_5x_CHEAP_MODELS_basic_variant_5,1467.2034,0.3333
