Model,Num_Runs,Mean_Rank,Std_Rank,Best_Rank,Worst_Rank,Median_Rank
grok-3-mini,5,1.0000,0.0000,1,1,1.0000
deepseek-r1-0528,5,2.0000,0.0000,2,2,2.0000
kimi-k2,5,3.4000,0.5477,3,4,3.0000
qwen3-235b-a22b-2507,5,4.4000,1.1402,3,6,4.0000
gpt-4o-mini,5,5.2000,1.7889,3,7,5.0000
llama-4-maverick,5,5.6000,0.5477,5,6,6.0000
gemini-2.5-flash,5,6.4000,0.8944,5,7,7.0000
