Model,Num_Runs,Mean_Elo,Std_Elo,Min_Elo,Max_Elo,Mean_Win_Rate,Std_Win_Rate,Min_Win_Rate,Max_Win_Rate
grok-3-mini,5,1657.7426,29.7332,1614.5393,1694.0289,0.7267,0.0596,0.6667,0.8000
deepseek-r1-0528,5,1608.9819,23.3736,1590.1745,1648.0041,0.5933,0.0796,0.5333,0.7333
kimi-k2,5,1476.5692,18.3361,1448.7231,1491.7265,0.3467,0.0506,0.2667,0.4000
qwen3-235b-a22b-2507,5,1458.3869,24.7297,1426.8209,1481.1097,0.3067,0.0683,0.2333,0.3667
gpt-4o-mini,5,1437.4482,32.5216,1404.2790,1489.8452,0.3133,0.0767,0.2333,0.4000
llama-4-maverick,5,1435.8614,14.4718,1426.3697,1460.4582,0.2533,0.0506,0.2000,0.3333
gemini-2.5-flash,5,1425.0097,22.2154,1399.9172,1453.1943,0.2267,0.0830,0.1667,0.3667
