Model,Num_Runs,Mean_Elo,Std_Elo,Min_Elo,Max_Elo,Mean_Win_Rate,Std_Win_Rate,Min_Win_Rate,Max_Win_Rate
deepseek-r1,5,1548.0452,11.1198,1530.4041,1556.6127,0.6000,0.0913,0.5000,0.6667
grok-3-mini,5,1534.4559,27.1229,1501.4632,1570.2422,0.4333,0.2789,0.1667,0.8333
o3-mini,5,1500.6498,20.7649,1471.1107,1516.6998,0.3333,0.1179,0.1667,0.5000
gemini-2.5-flash,5,1484.5888,17.7550,1460.2777,1503.1868,0.2667,0.0913,0.1667,0.3333
qwen3-235b-a22b-2507,5,1481.8895,46.3865,1413.7836,1541.1840,0.3000,0.2472,0.0000,0.6667
llama-4-maverick,5,1477.3549,20.1193,1457.5404,1499.8007,0.2667,0.1491,0.1667,0.5000
chatgpt-4o-latest,5,1473.0161,26.0800,1441.0012,1500.6971,0.2667,0.0913,0.1667,0.3333
