Model,Num_Runs,Mean_Rank,Std_Rank,Best_Rank,Worst_Rank,Median_Rank
deepseek-r1,5,1.4000,0.5477,1,2,1.0000
grok-3-mini,5,1.8000,0.8367,1,3,2.0000
o3-mini,5,3.8000,1.9235,2,7,3.0000
qwen3-235b-a22b-2507,5,4.6000,1.8166,3,7,4.0000
gemini-2.5-flash,5,4.8000,0.4472,4,5,5.0000
llama-4-maverick,5,5.4000,0.8944,4,6,6.0000
chatgpt-4o-latest,5,6.2000,1.3038,4,7,7.0000
