Model,Num_Runs,Mean_Rank,Std_Rank,Best_Rank,Worst_Rank,Median_Rank
o3-mini,5,1.8000,1.0954,1,3,1.0000
deepseek-r1,5,2.0000,1.0000,1,3,2.0000
grok-3-mini,5,2.4000,0.8944,2,4,2.0000
qwen3-235b-a22b-2507,5,4.4000,1.5166,3,7,4.0000
gemini-2.5-flash,5,5.2000,0.8367,4,6,5.0000
chatgpt-4o-latest,5,6.0000,1.0000,5,7,6.0000
llama-4-maverick,5,6.2000,0.8367,5,7,6.0000
