Model,Num_Runs,Mean_Elo,Std_Elo,Min_Elo,Max_Elo,Mean_Win_Rate,Std_Win_Rate,Min_Win_Rate,Max_Win_Rate
o3-mini,5,1544.1959,21.7397,1514.8216,1570.9494,0.6000,0.1491,0.5000,0.8333
deepseek-r1,5,1542.3334,22.6138,1515.3511,1572.5014,0.5333,0.2173,0.3333,0.8333
grok-3-mini,5,1531.5813,17.5782,1501.8326,1543.6237,0.5000,0.1667,0.3333,0.6667
qwen3-235b-a22b-2507,5,1498.1919,28.8296,1446.9824,1513.9911,0.4000,0.1491,0.1667,0.5000
gemini-2.5-flash,5,1481.5121,20.1490,1454.1111,1500.8523,0.3000,0.1394,0.1667,0.5000
llama-4-maverick,5,1452.0293,22.4806,1428.9241,1488.5300,0.1000,0.1491,0.0000,0.3333
chatgpt-4o-latest,5,1450.1562,31.8790,1416.7872,1496.5649,0.1667,0.1667,0.0000,0.3333
