Model,Num_Runs,Mean_Rank,Std_Rank,Best_Rank,Worst_Rank,Median_Rank
gemini-2.5-flash,5,2.4000,1.1402,1,4,2.0000
kimi-k2,5,2.8000,1.4832,1,5,3.0000
grok-3-mini,5,3.0000,1.8708,1,5,2.0000
gpt-4o-mini,5,4.0000,2.1213,1,6,4.0000
llama-4-maverick,5,4.2000,0.8367,3,5,4.0000
qwen3-235b-a22b-2507,5,4.6000,2.1909,1,6,6.0000
