Model,Num_Runs,Mean_Elo,Std_Elo,Min_Elo,Max_Elo,Mean_Win_Rate,Std_Win_Rate,Min_Win_Rate,Max_Win_Rate
gemini-2.5-flash,5,1551.6325,10.2215,1535.5759,1560.9981,0.6320,0.0179,0.6000,0.6400
kimi-k2,5,1525.0950,64.3852,1436.5297,1594.6230,0.5520,0.1339,0.4000,0.7200
grok-3-mini,5,1503.8923,94.9877,1361.6637,1587.1426,0.5360,0.1931,0.2400,0.6800
llama-4-maverick,5,1493.1378,46.3578,1465.2976,1574.3843,0.4640,0.1043,0.3600,0.6400
qwen3-235b-a22b-2507,5,1477.4531,95.5196,1379.4786,1617.4253,0.4240,0.1951,0.2000,0.7200
gpt-4o-mini,5,1448.7893,141.4260,1292.3496,1602.3985,0.3920,0.2958,0.0400,0.6800
