Model,Run_Name,Elo,Win_Rate
gemini-2.5-flash,Poker-v0_5x_CHEAP_MODELS_basic,1559.5541,0.6400
gemini-2.5-flash,Poker-v0_5x_CHEAP_MODELS_basic_variant_1,1548.9098,0.6400
gemini-2.5-flash,Poker-v0_5x_CHEAP_MODELS_basic_variant_2,1553.1247,0.6000
gemini-2.5-flash,Poker-v0_5x_CHEAP_MODELS_basic_variant_3,1560.9981,0.6400
gemini-2.5-flash,Poker-v0_5x_CHEAP_MODELS_basic_variant_4,1535.5759,0.6400
gpt-4o-mini,Poker-v0_5x_CHEAP_MODELS_basic,1292.3496,0.0400
gpt-4o-mini,Poker-v0_5x_CHEAP_MODELS_basic_variant_1,1602.3985,0.6800
gpt-4o-mini,Poker-v0_5x_CHEAP_MODELS_basic_variant_2,1495.0133,0.4800
gpt-4o-mini,Poker-v0_5x_CHEAP_MODELS_basic_variant_3,1547.2134,0.6400
gpt-4o-mini,Poker-v0_5x_CHEAP_MODELS_basic_variant_4,1306.9719,0.1200
grok-3-mini,Poker-v0_5x_CHEAP_MODELS_basic,1361.6637,0.2400
grok-3-mini,Poker-v0_5x_CHEAP_MODELS_basic_variant_1,1456.8175,0.4400
grok-3-mini,Poker-v0_5x_CHEAP_MODELS_basic_variant_2,1533.5583,0.6400
grok-3-mini,Poker-v0_5x_CHEAP_MODELS_basic_variant_3,1587.1426,0.6800
grok-3-mini,Poker-v0_5x_CHEAP_MODELS_basic_variant_4,1580.2792,0.6800
kimi-k2,Poker-v0_5x_CHEAP_MODELS_basic,1594.6230,0.7200
kimi-k2,Poker-v0_5x_CHEAP_MODELS_basic_variant_1,1505.1914,0.5600
kimi-k2,Poker-v0_5x_CHEAP_MODELS_basic_variant_2,1507.4878,0.4400
kimi-k2,Poker-v0_5x_CHEAP_MODELS_basic_variant_3,1436.5297,0.4000
kimi-k2,Poker-v0_5x_CHEAP_MODELS_basic_variant_4,1581.6430,0.6400
llama-4-maverick,Poker-v0_5x_CHEAP_MODELS_basic,1574.3843,0.6400
llama-4-maverick,Poker-v0_5x_CHEAP_MODELS_basic_variant_1,1470.0925,0.3600
llama-4-maverick,Poker-v0_5x_CHEAP_MODELS_basic_variant_2,1465.2976,0.4400
llama-4-maverick,Poker-v0_5x_CHEAP_MODELS_basic_variant_3,1488.6376,0.4400
llama-4-maverick,Poker-v0_5x_CHEAP_MODELS_basic_variant_4,1467.2771,0.4400
qwen3-235b-a22b-2507,Poker-v0_5x_CHEAP_MODELS_basic,1617.4253,0.7200
qwen3-235b-a22b-2507,Poker-v0_5x_CHEAP_MODELS_basic_variant_1,1416.5903,0.3200
qwen3-235b-a22b-2507,Poker-v0_5x_CHEAP_MODELS_basic_variant_2,1445.5184,0.4000
qwen3-235b-a22b-2507,Poker-v0_5x_CHEAP_MODELS_basic_variant_3,1379.4786,0.2000
qwen3-235b-a22b-2507,Poker-v0_5x_CHEAP_MODELS_basic_variant_4,1528.2529,0.4800
