Model,Num_Runs,Mean_Rank,Std_Rank,Best_Rank,Worst_Rank,Median_Rank
grok-4,5,1.0000,0.0000,1,1,1.0000
deepseek-r1,5,2.4000,0.5477,2,3,2.0000
o3-mini,5,2.6000,0.5477,2,3,3.0000
llama-4-maverick,5,5.0000,1.2247,4,7,5.0000
qwen3-235b-a22b-2507,5,5.2000,0.8367,4,6,5.0000
chatgpt-4o-latest,5,5.8000,1.0954,4,7,6.0000
gemini-2.5-flash,5,6.0000,1.4142,4,7,7.0000
