Model,Num_Runs,Mean_Elo,Std_Elo,Min_Elo,Max_Elo,Mean_Win_Rate,Std_Win_Rate,Min_Win_Rate,Max_Win_Rate
grok-4,5,1559.0898,6.4240,1554.7486,1570.2965,0.7000,0.0745,0.6667,0.8333
deepseek-r1,5,1539.0537,17.2095,1516.9963,1556.4858,0.5667,0.0913,0.5000,0.6667
o3-mini,5,1531.7491,19.0863,1500.1445,1544.4042,0.4333,0.1900,0.1667,0.6667
qwen3-235b-a22b-2507,5,1479.0235,9.1320,1471.2571,1489.3958,0.3333,0.0000,0.3333,0.3333
llama-4-maverick,5,1477.0212,20.3900,1440.7241,1489.2992,0.2333,0.1491,0.0000,0.3333
chatgpt-4o-latest,5,1469.8621,17.8174,1454.0954,1499.2131,0.2667,0.1491,0.1667,0.5000
gemini-2.5-flash,5,1444.2006,35.7703,1413.7084,1491.8038,0.1000,0.1491,0.0000,0.3333
