Model,Num_Runs,Mean_Rank,Std_Rank,Best_Rank,Worst_Rank,Median_Rank
qwen3-235b-a22b-2507,5,2.8000,1.0954,1,4,3.0000
o3-mini,5,2.8000,1.6432,1,5,2.0000
gemini-2.5-flash,5,3.4000,1.5166,1,5,4.0000
grok-3-mini,5,4.2000,2.4900,1,6,6.0000
chatgpt-4o-latest,5,4.4000,2.4083,1,7,5.0000
deepseek-r1,5,5.0000,1.8708,2,7,5.0000
llama-4-maverick,5,5.4000,2.3022,2,7,7.0000
