Model,Num_Runs,Mean_Elo,Std_Elo,Min_Elo,Max_Elo,Mean_Win_Rate,Std_Win_Rate,Min_Win_Rate,Max_Win_Rate
qwen3-235b-a22b-2507,5,1522.0297,37.2205,1495.5464,1584.8293,0.6333,0.2173,0.5000,1.0000
gemini-2.5-flash,5,1516.5909,38.5194,1491.3401,1584.8995,0.6000,0.2236,0.5000,1.0000
o3-mini,5,1506.2001,22.7024,1477.8151,1531.8166,0.5333,0.1394,0.3333,0.6667
grok-3-mini,5,1500.0534,30.7272,1468.5362,1531.7911,0.5000,0.1667,0.3333,0.6667
deepseek-r1,5,1489.2599,30.2068,1444.4092,1526.2077,0.4333,0.1900,0.1667,0.6667
chatgpt-4o-latest,5,1488.7588,25.0354,1466.6234,1528.6634,0.4333,0.1491,0.3333,0.6667
llama-4-maverick,5,1477.1072,36.2723,1440.8825,1528.2090,0.3667,0.2173,0.1667,0.6667
